# Time-averaged data for fix calcRDF
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3]
50000 100
1 0.015 0 0
2 0.045 0 0
3 0.075 0 0
4 0.105 0 0
5 0.135 0 0
6 0.165 0 0
7 0.195 0 0
8 0.225 0 0
9 0.255 0 0
10 0.285 0 0
11 0.315 0 0
12 0.345 0 0
13 0.375 0 0
14 0.405 0 0
15 0.435 0 0
16 0.465 0 0
17 0.495 0 0
18 0.525 0 0
19 0.555 0 0
20 0.585 0 0
21 0.615 0 0
22 0.645 0 0
23 0.675 0 0
24 0.705 0 0
25 0.735 0 0
26 0.765 0 0
27 0.795 0 0
28 0.825 0 0
29 0.855 0 0
30 0.885 0.000988094 0.00018
31 0.915 0.0180765 0.0037
32 0.945 0.162924 0.03754
33 0.975 0.560469 0.16146
34 1.005 1.21116 0.44598
35 1.035 1.7942 0.893
36 1.065 2.12487 1.45354
37 1.095 2.24399 2.07932
38 1.125 2.177 2.72014
39 1.155 2.04805 3.35558
40 1.185 1.84352 3.95766
41 1.215 1.66 4.5276
42 1.245 1.49298 5.06582
43 1.275 1.36938 5.58356
44 1.305 1.24433 6.07642
45 1.335 1.14499 6.55102
46 1.365 1.04777 7.00506
47 1.395 0.991921 7.454
48 1.425 0.933742 7.89498
49 1.455 0.892873 8.3346
50 1.485 0.850963 8.77104
51 1.515 0.822392 9.21004
52 1.545 0.808526 9.6589
53 1.575 0.796219 10.1183
54 1.605 0.790101 10.5916
55 1.635 0.786433 11.0806
56 1.665 0.794891 11.5931
57 1.695 0.793732 12.1234
58 1.725 0.808818 12.6832
59 1.755 0.8232 13.2728
60 1.785 0.850984 13.9034
61 1.815 0.869813 14.5698
62 1.845 0.901655 15.2837
63 1.875 0.930223 16.0442
64 1.905 0.959188 16.8538
65 1.935 0.997248 17.7222
66 1.965 1.02293 18.6408
67 1.995 1.05387 19.6163
68 2.025 1.09032 20.6561
69 2.055 1.10386 21.7403
70 2.085 1.11713 22.8697
71 2.115 1.13267 24.0481
72 2.145 1.12326 25.2501
73 2.175 1.12669 26.4896
74 2.205 1.11495 27.7504
75 2.235 1.10621 29.0355
76 2.265 1.08617 30.3314
77 2.295 1.07828 31.6523
78 2.325 1.05011 32.9725
79 2.355 1.03677 34.3097
80 2.385 1.02001 35.6591
81 2.415 1.01462 37.0353
82 2.445 0.994071 38.4174
83 2.475 0.980367 39.814
84 2.505 0.971019 41.2311
85 2.535 0.959467 42.6651
86 2.565 0.961924 44.1369
87 2.595 0.951918 45.6278
88 2.625 0.94893 47.1485
89 2.655 0.949785 48.7055
90 2.685 0.958299 50.3122
91 2.715 0.953746 51.9473
92 2.745 0.962618 53.6342
93 2.775 0.973097 55.3769
94 2.805 0.979292 57.1689
95 2.835 0.98182 59.0041
96 2.865 0.994347 60.9023
97 2.895 0.998923 62.8493
98 2.925 1.00359 64.8462
99 2.955 1.00836 66.894
100 2.985 1.01756 69.0026
100000 100
1 0.015 0 0
2 0.045 0 0
3 0.075 0 0
4 0.105 0 0
5 0.135 0 0
6 0.165 0 0
7 0.195 0 0
8 0.225 0 0
9 0.255 0 0
10 0.285 0 0
11 0.315 0 0
12 0.345 0 0
13 0.375 0 0
14 0.405 0 0
15 0.435 0 0
16 0.465 0 0
17 0.495 0 0
18 0.525 0 0
19 0.555 0 0
20 0.585 0 0
21 0.615 0 0
22 0.645 0 0
23 0.675 0 0
24 0.705 0 0
25 0.735 0 0
26 0.765 0 0
27 0.795 0 0
28 0.825 0 0
29 0.855 0 0
30 0.885 0.000658729 0.00012
31 0.915 0.0190009 0.00382
32 0.945 0.162057 0.03748
