# Time-averaged data for fix calcRDF
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3]
50000 100
1 0.0125 0 0
2 0.0375 0 0
3 0.0625 0 0
4 0.0875 0 0
5 0.1125 0 0
6 0.1375 0 0
7 0.1625 0 0
8 0.1875 0 0
9 0.2125 0 0
10 0.2375 0 0
11 0.2625 0 0
12 0.2875 0 0
13 0.3125 0 0
14 0.3375 0 0
15 0.3625 0 0
16 0.3875 0 0
17 0.4125 0 0
18 0.4375 0 0
19 0.4625 0 0
20 0.4875 0 0
21 0.5125 0 0
22 0.5375 0 0
23 0.5625 0 0
24 0.5875 0 0
25 0.6125 0 0
26 0.6375 0 0
27 0.6625 0 0
28 0.6875 0 0
29 0.7125 0 0
30 0.7375 0 0
31 0.7625 0 0
32 0.7875 0 0
33 0.8125 0 0
34 0.8375 0 0
35 0.8625 0 0
36 0.8875 0.00121838 0.00012
37 0.9125 0.00902823 0.00106
38 0.9375 0.0871696 0.01064
39 0.9625 0.323205 0.04808
40 0.9875 0.732519 0.1374
41 1.0125 1.24428 0.2969
42 1.0375 1.72725 0.52938
43 1.0625 2.05753 0.81982
44 1.0875 2.20638 1.1461
45 1.1125 2.22723 1.49078
46 1.1375 2.2319 1.85188
47 1.1625 2.06581 2.20096
48 1.1875 1.91884 2.5393
49 1.2125 1.79668 2.86958
50 1.2375 1.6937 3.1939
51 1.2625 1.55172 3.50316
52 1.2875 1.47787 3.80948
53 1.3125 1.35776 4.10194
54 1.3375 1.28173 4.38864
55 1.3625 1.23366 4.675
56 1.3875 1.15047 4.95194
57 1.4125 1.09648 5.22548
58 1.4375 1.06812 5.50146
59 1.4625 1.02212 5.77482
60 1.4875 0.994628 6.05
61 1.5125 0.961111 6.32492
62 1.5375 0.94344 6.60378
63 1.5625 0.936816 6.88976
64 1.5875 0.925949 7.18154
65 1.6125 0.920529 7.48082
66 1.6375 0.893829 7.7805
67 1.6625 0.894118 8.0895
68 1.6875 0.895121 8.40822
69 1.7125 0.90872 8.74144
70 1.7375 0.905965 9.08342
71 1.7625 0.910775 9.43718
72 1.7875 0.919018 9.80434
73 1.8125 0.925489 10.1845
74 1.8375 0.94463 10.5833
75 1.8625 0.96011 10.9997
76 1.8875 0.973637 11.4335
77 1.9125 0.996103 11.889
78 1.9375 1.00005 12.3584
79 1.9625 1.03296 12.8559
80 1.9875 1.03791 13.3685
81 2.0125 1.06509 13.9079
82 2.0375 1.08585 14.4715
83 2.0625 1.08518 15.0487
84 2.0875 1.09032 15.6428
85 2.1125 1.10997 16.2622
86 2.1375 1.11052 16.8966
87 2.1625 1.09926 17.5393
88 2.1875 1.1068 18.2016
89 2.2125 1.09859 18.874
90 2.2375 1.10463 19.5655
91 2.2625 1.10632 20.2736
92 2.2875 1.07979 20.98
93 2.3125 1.09001 21.7089
94 2.3375 1.07414 22.4427
95 2.3625 1.05213 23.177
96 2.3875 1.06046 23.9328
97 2.4125 1.04198 24.6911
98 2.4375 1.0335 25.4589
99 2.4625 1.03209 26.2414
100 2.4875 1.02244 27.0324
100000 100
1 0.0125 0 0
2 0.0375 0 0
3 0.0625 0 0
4 0.0875 0 0
5 0.1125 0 0
6 0.1375 0 0
7 0.1625 0 0
8 0.1875 0 0
9 0.2125 0 0
10 0.2375 0 0
11 0.2625 0 0
12 0.2875 0 0
13 0.3125 0 0
14 0.3375 0 0
15 0.3625 0 0
16 0.3875 0 0
17 0.4125 0 0
18 0.4375 0 0
19 0.4625 0 0
20 0.4875 0 0
21 0.5125 0 0
22 0.5375 0 0
23 0.5625 0 0
24 0.5875 0 0
25 0.6125 0 0
26 0.6375 0 0
27 0.6625 0 0
28 0.6875 0 0
29 0.7125 0 0
30 0.7375 0 0
31 0.7625 0 0
32 0.7875 0 0
33 0.8125 0 0
34 0.8375 0 0
35 0.8625 0 0
36 0.8875 0.000609191 6e-05
37 0.9125 0.0147909 0.0016
38 0.9375 0.083166 0.01074
39 0.9625 0.308529 0.04648
40 0.9875 0.735964 0.13622
41 1.0125 1.26003 0.29774
42 1.0375 1.72889 0.53044
43 1.0625 2.04336 0.81888
44 1.0875 2.22342 1.14768
45 1.1125 2.24571 1.49522
46 1.1375 2.15044 1.84314
47 1.1625 2.07587 2.19392
48 1.1875 1.93301 2.53476
49 1.2125 1.83541 2.87216
50 1.2375 1.67511 3.19292
51 1.2625 1.57751 3.50732
52 1.2875 1.43184 3.8041
53 1.3125 1.3559 4.09616
54 1.3375 1.28745 4.38414
55 1.3625 1.22814 4.66922
56 1.3875 1.13851 4.94328
57 1.4125 1.11813 5.22222
58 1.4375 1.06657 5.4978
59 1.4625 1.03311 5.7741
60 1.4875 0.990146 6.04804
61 1.5125 0.972228 6.32614
62 1.5375 0.943102 6.6049
63 1.5625 0.931181 6.88916
64 1.5875 0.914715 7.1774
65 1.6125 0.91124 7.47366
66 1.6375 0.897945 7.77472
67 1.6625 0.893366 8.08346
68 1.6875 0.893717 8.40168
69 1.7125 0.899284 8.73144
70 1.7375 0.907555 9.07402
71 1.7625 0.894761 9.42156
72 1.7875 0.919469 9.7889
73 1.8125 0.924661 10.1687
74 1.8375 0.954152 10.5715
75 1.8625 0.955776 10.9861
76 1.8875 0.973951 11.42
77 1.9125 0.997984 11.8764
78 1.9375 0.999282 12.3454
79 1.9625 1.01269 12.8331
80 1.9875 1.04281 13.3482
81 2.0125 1.05845 13.8842
82 2.0375 1.08411 14.4469
83 2.0625 1.08413 15.0236
84 2.0875 1.09153 15.6183
85 2.1125 1.09395 16.2287
86 2.1375 1.11476 16.8656
87 2.1625 1.10719 17.513
88 2.1875 1.10075 18.1716
89 2.2125 1.10983 18.8509
90 2.2375 1.10495 19.5425
91 2.2625 1.09948 20.2463
92 2.2875 1.09853 20.965
93 2.3125 1.08011 21.6872
94 2.3375 1.06709 22.4162
95 2.3625 1.05663 23.1536
96 2.3875 1.05687 23.9069
97 2.4125 1.03871 24.6628
98 2.4375 1.0286 25.4269
99 2.4625 1.03333 26.2104
100 2.4875 1.0167 26.997
150000 100
1 0.0125 0 0
2 0.0375 0 0
3 0.0625 0 0
4 0.0875 0 0
5 0.1125 0 0
6 0.1375 0 0
7 0.1625 0 0
8 0.1875 0 0
9 0.2125 0 0
10 0.2375 0 0
11 0.2625 0 0
12 0.2875 0 0
13 0.3125 0 0
14 0.3375 0 0
15 0.3625 0 0
16 0.3875 0 0
17 0.4125 0 0
18 0.4375 0 0
19 0.4625 0 0
20 0.4875 0 0
21 0.5125 0 0
22 0.5375 0 0
23 0.5625 0 0
24 0.5875 0 0
25 0.6125 0 0
26 0.6375 0 0
27 0.6625 0 0
28 0.6875 0 0
29 0.7125 0 0
30 0.7375 0 0
31 0.7625 0 0
32 0.7875 0 0
33 0.8125 0 0
34 0.8375 0 0
35 0.8625 0 0
36 0.8875 0.00101532 0.0001
37 0.9125 0.0111412 0.00126
38 0.9375 0.0778885 0.00982
39 0.9625 0.319579 0.04684
40 0.9875 0.74072 0.13716
41 1.0125 1.24115 0.29626
