# Time-averaged data for fix calcRDF
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3]
50000 100
1 0.0125 0 0
2 0.0375 0 0
3 0.0625 0 0
4 0.0875 0 0
5 0.1125 0 0
6 0.1375 0 0
7 0.1625 0 0
8 0.1875 0 0
9 0.2125 0 0
10 0.2375 0 0
11 0.2625 0 0
12 0.2875 0 0
13 0.3125 0 0
14 0.3375 0 0
15 0.3625 0 0
16 0.3875 0 0
17 0.4125 0 0
18 0.4375 0 0
19 0.4625 0 0
20 0.4875 0 0
21 0.5125 0 0
22 0.5375 0 0
23 0.5625 0 0
24 0.5875 0 0
25 0.6125 0 0
26 0.6375 0 0
27 0.6625 0 0
28 0.6875 0 0
29 0.7125 0 0
30 0.7375 0 0
31 0.7625 0 0
32 0.7875 0 0
33 0.8125 0 0
34 0.8375 0 0
35 0.8625 0 0
36 0.8875 0.000262017 4e-05
37 0.9125 0.0146236 0.0024
38 0.9375 0.0994444 0.01934
39 0.9625 0.375824 0.08682
40 0.9875 0.825502 0.24284
41 1.0125 1.39574 0.52016
42 1.0375 1.82626 0.90116
43 1.0625 2.10642 1.36204
44 1.0875 2.25404 1.8787
45 1.1125 2.20332 2.40722
46 1.1375 2.10722 2.93566
47 1.1625 1.99115 3.45718
48 1.1875 1.83275 3.95808
49 1.2125 1.70068 4.44266
50 1.2375 1.53414 4.898
51 1.2625 1.41481 5.33506
52 1.2875 1.29336 5.75058
53 1.3125 1.19705 6.15024
54 1.3375 1.14038 6.54562
55 1.3625 1.06545 6.92896
56 1.3875 0.998941 7.30168
57 1.4125 0.953809 7.6705
58 1.4375 0.912982 8.03614
59 1.4625 0.873014 8.39804
60 1.4875 0.845316 8.76054
61 1.5125 0.816069 9.12236
62 1.5375 0.814542 9.49554
63 1.5625 0.792363 9.87046
64 1.5875 0.802737 10.2625
65 1.6125 0.778635 10.6549
66 1.6375 0.788755 11.0648
67 1.6625 0.798254 11.4924
68 1.6875 0.790578 11.9287
69 1.7125 0.801762 12.3844
70 1.7375 0.811671 12.8593
71 1.7625 0.821929 13.3542
72 1.7875 0.853682 13.8828
73 1.8125 0.871288 14.4376
74 1.8375 0.886434 15.0176
75 1.8625 0.925746 15.64
76 1.8875 0.945124 16.2926
77 1.9125 0.967608 16.9785
78 1.9375 1.00526 17.7099
79 1.9625 1.02453 18.4746
80 1.9875 1.05383 19.2814
81 2.0125 1.0723 20.1231
82 2.0375 1.09323 21.0027
83 2.0625 1.10509 21.9137
84 2.0875 1.12243 22.8617
85 2.1125 1.13001 23.839
86 2.1375 1.1436 24.8517
87 2.1625 1.13423 25.8796
88 2.1875 1.12068 26.919
89 2.2125 1.11452 27.9763
90 2.2375 1.09981 29.0434
91 2.2625 1.08169 30.1166
92 2.2875 1.07427 31.206
93 2.3125 1.05883 32.3034
94 2.3375 1.05301 33.4185
95 2.3625 1.02151 34.5234
96 2.3875 1.01303 35.6426
97 2.4125 0.997017 36.7672
98 2.4375 0.992302 37.9098
99 2.4625 0.98439 39.0667
100 2.4875 0.968005 40.2275
100000 100
1 0.0125 0 0
2 0.0375 0 0
3 0.0625 0 0
4 0.0875 0 0
5 0.1125 0 0
6 0.1375 0 0
7 0.1625 0 0
8 0.1875 0 0
9 0.2125 0 0
10 0.2375 0 0
11 0.2625 0 0
12 0.2875 0 0
13 0.3125 0 0
14 0.3375 0 0
15 0.3625 0 0
16 0.3875 0 0
17 0.4125 0 0
18 0.4375 0 0
19 0.4625 0 0
20 0.4875 0 0
21 0.5125 0 0
22 0.5375 0 0
23 0.5625 0 0
24 0.5875 0 0
25 0.6125 0 0
26 0.6375 0 0
27 0.6625 0 0
28 0.6875 0 0
29 0.7125 0 0
30 0.7375 0 0
31 0.7625 0 0
32 0.7875 0 0
33 0.8125 0 0
34 0.8375 0 0
35 0.8625 0 0
36 0.8875 0.000524034 8e-05
37 0.9125 0.0149954 0.0025
38 0.9375 0.103906 0.0202
39 0.9625 0.383398 0.08904
40 0.9875 0.820846 0.24418
41 1.0125 1.37118 0.51662
42 1.0375 1.8183 0.89596
43 1.0625 2.12836 1.36164
44 1.0875 2.21373 1.86906
45 1.1125 2.20641 2.39832
46 1.1375 2.09701 2.9242
47 1.1625 1.98366 3.44376
48 1.1875 1.82653 3.94296
49 1.2125 1.6971 4.42652
50 1.2375 1.54095 4.88388
51 1.2625 1.41883 5.32218
52 1.2875 1.30724 5.74216
53 1.3125 1.20466 6.14436
54 1.3375 1.11996 6.53266
55 1.3625 1.05673 6.91286
56 1.3875 1.0162 7.29202
57 1.4125 0.964101 7.66482
58 1.4375 0.916727 8.03196
59 1.4625 0.875185 8.39476
60 1.4875 0.849793 8.75918
61 1.5125 0.825723 9.12528
62 1.5375 0.81607 9.49916
63 1.5625 0.795322 9.87548
64 1.5875 0.786604 10.2597
65 1.6125 0.781651 10.6536
66 1.6375 0.786792 11.0625
67 1.6625 0.786531 11.4838
68 1.6875 0.791122 11.9204
69 1.7125 0.809257 12.3804
70 1.7375 0.8048 12.8512
71 1.7625 0.826181 13.3486
72 1.7875 0.848062 13.8738
73 1.8125 0.868429 14.4267
74 1.8375 0.897254 15.0139
75 1.8625 0.927471 15.6374
76 1.8875 0.935941 16.2836
77 1.9125 0.967947 16.9698
78 1.9375 0.991456 17.6911
79 1.9625 1.02525 18.4564
80 1.9875 1.05655 19.2653
81 2.0125 1.07869 20.112
82 2.0375 1.0884 20.9877
83 2.0625 1.11742 21.9089
84 2.0875 1.11883 22.8538
85 2.1125 1.13056 23.8316
86 2.1375 1.13585 24.8374
87 2.1625 1.13053 25.862
88 2.1875 1.12204 26.9026
89 2.2125 1.1145 27.96
90 2.2375 1.10356 29.0307
91 2.2625 1.08753 30.1096
92 2.2875 1.06993 31.1947
93 2.3125 1.06004 32.2933
94 2.3375 1.04644 33.4014
95 2.3625 1.0275 34.5129
96 2.3875 1.01487 35.6341
97 2.4125 1.00453 36.7672
98 2.4375 0.992337 37.9098
99 2.4625 0.990568 39.074
100 2.4875 0.973042 40.2408
150000 100
1 0.0125 0 0
2 0.0375 0 0
3 0.0625 0 0
4 0.0875 0 0
5 0.1125 0 0
6 0.1375 0 0
7 0.1625 0 0
8 0.1875 0 0
9 0.2125 0 0
10 0.2375 0 0
11 0.2625 0 0
12 0.2875 0 0
13 0.3125 0 0
14 0.3375 0 0
15 0.3625 0 0
16 0.3875 0 0
17 0.4125 0 0
18 0.4375 0 0
19 0.4625 0 0
20 0.4875 0 0
21 0.5125 0 0
22 0.5375 0 0
23 0.5625 0 0
24 0.5875 0 0
25 0.6125 0 0
26 0.6375 0 0
27 0.6625 0 0
28 0.6875 0 0
29 0.7125 0 0
30 0.7375 0 0
31 0.7625 0 0
32 0.7875 0 0
33 0.8125 0 0
34 0.8375 0 0
35 0.8625 0 0
36 0.8875 0.000786051 0.00012
37 0.9125 0.0142518 0.00242
38 0.9375 0.109307 0.02104
39 0.9625 0.383064 0.08982
40 0.9875 0.83365 0.24738
41 1.0125 1.37762 0.5211
