# Time-averaged data for fix calcRDF
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3]
50000 100
1 0.015 0 0
2 0.045 0 0
3 0.075 0 0
4 0.105 0 0
5 0.135 0 0
6 0.165 0 0
7 0.195 0 0
8 0.225 0 0
9 0.255 0 0
10 0.285 0 0
11 0.315 0 0
12 0.345 0 0
13 0.375 0 0
14 0.405 0 0
15 0.435 0 0
16 0.465 0 0
17 0.495 0 0
18 0.525 0 0
19 0.555 0 0
20 0.585 0 0
21 0.615 0 0
22 0.645 0 0
23 0.675 0 0
24 0.705 0 0
25 0.735 0 0
26 0.765 0 0
27 0.795 0 0
28 0.825 0 0
29 0.855 0 0
30 0.885 0.000170172 2e-05
31 0.915 0.0116214 0.00148
32 0.945 0.130445 0.01896
33 0.975 0.536857 0.09554
34 1.005 1.1713 0.27306
35 1.035 1.81523 0.56484
36 1.065 2.27871 0.95266
37 1.095 2.44548 1.39264
38 1.125 2.42886 1.8539
39 1.155 2.29054 2.3124
40 1.185 2.10228 2.75536
41 1.215 1.93438 3.18384
42 1.245 1.73428 3.5872
43 1.275 1.57394 3.97112
44 1.305 1.46703 4.346
45 1.335 1.36063 4.70986
46 1.365 1.2464 5.05832
47 1.395 1.17344 5.40096
48 1.425 1.10939 5.73898
49 1.455 1.06732 6.07802
50 1.485 1.02101 6.41586
51 1.515 1.00002 6.76026
52 1.545 0.964805 7.10582
53 1.575 0.943662 7.45706
54 1.605 0.923669 7.81408
55 1.635 0.925238 8.1852
56 1.665 0.909699 8.5636
57 1.695 0.922368 8.96122
58 1.725 0.924833 9.37414
59 1.755 0.928626 9.8033
60 1.785 0.956787 10.2607
61 1.815 0.959165 10.7348
62 1.845 0.988177 11.2395
63 1.875 0.999994 11.767
64 1.905 1.03031 12.3281
65 1.935 1.04937 12.9176
66 1.965 1.07291 13.5392
67 1.995 1.09745 14.1946
68 2.025 1.12619 14.8875
69 2.055 1.13875 15.6091
70 2.085 1.15607 16.3631
71 2.115 1.16016 17.1418
72 2.145 1.17203 17.9509
73 2.175 1.17897 18.7878
74 2.205 1.15487 19.6303
75 2.235 1.1609 20.5004
76 2.265 1.13931 21.3774
77 2.295 1.13169 22.2717
78 2.325 1.11232 23.1739
79 2.355 1.09992 24.0892
80 2.385 1.08482 25.0151
81 2.415 1.08524 25.9648
82 2.445 1.06084 26.9163
83 2.475 1.05069 27.882
84 2.505 1.04447 28.8654
85 2.535 1.02172 29.8506
86 2.565 1.02235 30.8598
87 2.595 1.01382 31.8842
88 2.625 1.02596 32.9449
89 2.655 1.01017 34.0133
90 2.685 1.00509 35.1005
91 2.715 1.01193 36.2197
92 2.745 1.01118 37.363
93 2.775 1.00761 38.5272
94 2.805 1.00545 39.7142
95 2.835 1.01939 40.9435
96 2.865 1.015 42.1935
97 2.895 1.02418 43.4815
98 2.925 1.01857 44.789
99 2.955 1.02657 46.134
100 2.985 1.03077 47.5121
100000 100
1 0.015 0 0
2 0.045 0 0
3 0.075 0 0
4 0.105 0 0
5 0.135 0 0
6 0.165 0 0
7 0.195 0 0
8 0.225 0 0
9 0.255 0 0
10 0.285 0 0
11 0.315 0 0
12 0.345 0 0
13 0.375 0 0
14 0.405 0 0
15 0.435 0 0
16 0.465 0 0
17 0.495 0 0
18 0.525 0 0
19 0.555 0 0
20 0.585 0 0
21 0.615 0 0
22 0.645 0 0
23 0.675 0 0
24 0.705 0 0
25 0.735 0 0
26 0.765 0 0
27 0.795 0 0
28 0.825 0 0
29 0.855 0 0
30 0.885 0.000170172 2e-05
31 0.915 0.0151237 0.00192
32 0.945 0.134027 0.01988
