# Time-averaged data for fix calcRDF
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3]
50000 100
21 0.82 0 0
22 0.86 0 0
23 0.9 0.00357865 0.00058
24 0.94 0.104527 0.01906
25 0.98 0.64113 0.14226
26 1.02 1.58586 0.47238
27 1.06 2.33255 0.99676
28 1.1 2.55445 1.61518
29 1.14 2.44528 2.251
30 1.18 2.21182 2.86718
31 1.22 1.94674 3.4469
32 1.26 1.70189 3.98748
33 1.3 1.51283 4.499
34 1.34 1.36947 4.99098
35 1.38 1.24295 5.46456
36 1.42 1.14154 5.92508
37 1.46 1.0685 6.38076
38 1.5 1.00952 6.8352
39 1.54 0.972854 7.2968
40 1.58 0.960302 7.77642
41 1.62 0.927523 8.26342
42 1.66 0.920041 8.77064
43 1.7 0.942425 9.31554
44 1.74 0.951699 9.892
45 1.78 0.953044 10.4961
46 1.82 0.991621 11.1533
47 1.86 1.00858 11.8513
48 1.9 1.06074 12.6174
49 1.94 1.07406 13.4262
50 1.98 1.12078 14.3052
51 2.02 1.16467 15.256
52 2.06 1.1791 16.257
53 2.1 1.20101 17.3166
54 2.14 1.19991 18.416
55 2.18 1.20222 19.559
56 2.22 1.19582 20.7381
57 2.26 1.16808 21.9317
58 2.3 1.14589 23.1444
59 2.34 1.1333 24.3859
60 2.38 1.10522 25.6383
61 2.42 1.08894 26.9142
62 2.46 1.07281 28.213
63 2.5 1.05776 29.5356
64 2.54 1.04924 30.8899
65 2.58 1.03148 32.2635
66 2.62 1.03232 33.6812
67 2.66 1.02549 35.1328
68 2.7 1.02891 36.6334
69 2.74 1.0295 38.1797
70 2.78 1.02178 39.7595
71 2.82 1.02946 41.3973
72 2.86 1.03092 43.0843
73 2.9 1.02946 44.8164
74 2.94 1.03374 46.6039
75 2.98 1.04301 48.457
76 3.02 1.04243 50.359
77 3.06 1.04428 52.3152
78 3.1 1.04907 54.3321
79 3.14 1.04329 56.39
80 3.18 1.04573 58.5056
81 3.22 1.04809 60.6797
82 3.26 1.03768 62.8859
83 3.3 1.03546 65.1418
84 3.34 1.02878 67.4378
85 3.38 1.01923 69.7673
86 3.42 1.01921 72.1522
87 3.46 1.01182 74.5756
88 3.5 1.01527 77.0637
89 3.54 1.00768 79.59
90 3.58 1.00597 82.1693
91 3.62 1.00189 84.7959
92 3.66 1.00234 87.4821
93 3.7 0.995934 90.2098
94 3.74 0.997151 93.0001
95 3.78 1.00021 95.8593
96 3.82 0.997093 98.7701
97 3.86 0.993866 101.733
98 3.9 0.996437 104.765
99 3.94 0.9966 107.86
100 3.98 0.993368 111.008
200000 100
1 0.02 0 0
2 0.06 0 0
3 0.1 0 0
4 0.14 0 0
5 0.18 0 0
6 0.22 0 0
7 0.26 0 0
8 0.3 0 0
9 0.34 0 0
10 0.38 0 0
11 0.42 0 0
12 0.46 0 0
13 0.5 0 0
14 0.54 0 0
15 0.58 0 0
16 0.62 0 0
17 0.66 0 0
18 0.7 0 0
19 0.74 0 0
20 0.78 0 0
21 0.82 0 0
22 0.86 0 0
23 0.9 0.00357865 0.00058
24 0.94 0.111993 0.02038
25 0.98 0.642379 0.14382
26 1.02 1.57548 0.47178
27 1.06 2.31716 0.9927
28 1.1 2.57643 1.61644
29 1.14 2.43981 2.25084
30 1.18 2.22704 2.87126
31 1.22 1.97199 3.4585
32 1.26 1.71164 4.00218
33 1.3 1.50638 4.51152
34 1.34 1.35611 4.9987
35 1.38 1.22179 5.46422
36 1.42 1.14149 5.92472
37 1.46 1.05795 6.3759
38 1.5 1.00397 6.82784
39 1.54 0.974077 7.29002
40 1.58 0.94921 7.7641
41 1.62 0.944626 8.26008
42 1.66 0.930743 8.7732
43 1.7 0.934919 9.31376
44 1.74 0.951104 9.88986
