# Time-averaged data for fix calcRDF
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3]
50000 100
1 0.02 0 0
2 0.06 0 0
3 0.1 0 0
4 0.14 0 0
5 0.18 0 0
6 0.22 0 0
7 0.26 0 0
8 0.3 0 0
9 0.34 0 0
10 0.38 0 0
11 0.42 0 0
12 0.46 0 0
13 0.5 0 0
14 0.54 0 0
15 0.58 0 0
16 0.62 0 0
17 0.66 0 0
18 0.7 0 0
19 0.74 0 0
20 0.78 0 0
21 0.82 0 0
22 0.86 0 0
23 0.9 0.00501567 0.00126
24 0.94 0.120714 0.03434
25 0.98 0.675911 0.23566
26 1.02 1.51715 0.72518
27 1.06 2.11705 1.46288
28 1.1 2.25947 2.31074
29 1.14 2.12266 3.16624
30 1.18 1.88209 3.97894
31 1.22 1.63748 4.73476
32 1.26 1.43333 5.44044
33 1.3 1.2549 6.09812
34 1.34 1.118 6.72066
35 1.38 1.02097 7.32362
36 1.42 0.937338 7.90974
37 1.46 0.877728 8.48994
38 1.5 0.842349 9.07768
39 1.54 0.801283 9.66698
40 1.58 0.799359 10.2858
41 1.62 0.78028 10.9208
42 1.66 0.782521 11.5895
43 1.7 0.799915 12.3064
44 1.74 0.818394 13.0747
45 1.78 0.847328 13.9073
46 1.82 0.881387 14.8126
47 1.86 0.91745 15.7969
48 1.9 0.959821 16.8713
49 1.94 1.00798 18.0477
50 1.98 1.0449 19.318
51 2.02 1.07772 20.6817
52 2.06 1.10928 22.1414
53 2.1 1.12932 23.6858
54 2.14 1.13158 25.2928
55 2.18 1.12826 26.9555
56 2.22 1.1152 28.6599
57 2.26 1.09267 30.3905
58 2.3 1.05698 32.1244
59 2.34 1.04735 33.9027
60 2.38 1.02523 35.7035
61 2.42 1.00266 37.5244
62 2.46 0.988367 39.3792
63 2.5 0.96625 41.2518
64 2.54 0.962979 43.1784
65 2.58 0.952274 45.144
66 2.62 0.954699 47.1762
67 2.66 0.949948 49.2604
68 2.7 0.954904 51.4191
69 2.74 0.961961 53.6586
70 2.78 0.973518 55.9916
71 2.82 0.98325 58.4163
72 2.86 0.992132 60.9328
73 2.9 0.998834 63.5376
74 2.94 1.0113 66.2482
75 2.98 1.01332 69.0387
76 3.02 1.01963 71.9224
77 3.06 1.02664 74.9033
78 3.1 1.02714 77.9642
79 3.14 1.02772 81.1063
80 3.18 1.02982 84.3356
81 3.22 1.02668 87.6365
82 3.26 1.02277 91.0071
83 3.3 1.01912 94.4486
84 3.34 1.00982 97.9418
85 3.38 1.0111 101.524
86 3.42 1.00038 105.152
87 3.46 1.00066 108.867
88 3.5 0.993019 112.639
89 3.54 0.992949 116.497
90 3.58 0.988442 120.426
91 3.62 0.992682 124.46
92 3.66 0.99133 128.577
93 3.7 0.992291 132.79
94 3.74 0.998467 137.121
95 3.78 0.994285 141.526
96 3.82 0.997001 146.037
97 3.86 0.998206 150.649
98 3.9 1.00388 155.384
99 3.94 1.00472 160.221
100 3.98 1.00701 165.167
100000 100
1 0.02 0 0
2 0.06 0 0
3 0.1 0 0
4 0.14 0 0
5 0.18 0 0
6 0.22 0 0
7 0.26 0 0
8 0.3 0 0
9 0.34 0 0
10 0.38 0 0
11 0.42 0 0
12 0.46 0 0
13 0.5 0 0
14 0.54 0 0
15 0.58 0 0
16 0.62 0 0
17 0.66 0 0
18 0.7 0 0
19 0.74 0 0
20 0.78 0 0
21 0.82 0 0
22 0.86 0 0
23 0.9 0.00597104 0.0015
24 0.94 0.128378 0.03668
25 0.98 0.675978 0.23802
26 1.02 1.50755 0.72444
27 1.06 2.09817 1.45556
28 1.1 2.26155 2.3042
29 1.14 2.12227 3.15954
30 1.18 1.87282 3.96824
31 1.22 1.63145 4.72128
32 1.26 1.44706 5.43372
33 1.3 1.25772 6.09288
34 1.34 1.11868 6.7158
35 1.38 1.00956 7.31202
36 1.42 0.935419 7.89694
37 1.46 0.884596 8.48168
38 1.5 0.846305 9.07218
39 1.54 0.810556 9.6683
40 1.58 0.784788 10.2758
41 1.62 0.787751 10.9169
42 1.66 0.779994 11.5835
43 1.7 0.798509 12.2991
44 1.74 0.813856 13.0632
45 1.78 0.847267 13.8956
46 1.82 0.873676 14.7931
47 1.86 0.913404 15.773
48 1.9 0.951102 16.8377
49 1.94 1.00215 18.0073
50 1.98 1.04204 19.2741
51 2.02 1.07926 20.6397
52 2.06 1.10529 22.0942
53 2.1 1.13089 23.6407
54 2.14 1.14071 25.2607
55 2.18 1.12935 26.925
56 2.22 1.11276 28.6256
57 2.26 1.08622 30.346
58 2.3 1.0626 32.0891
59 2.34 1.04362 33.8611
60 2.38 1.02725 35.6655
61 2.42 1.00184 37.4849
62 2.46 0.985074 39.3334
63 2.5 0.976291 41.2256
64 2.54 0.96043 43.147
65 2.58 0.954629 45.1175
66 2.62 0.955225 47.1508
67 2.66 0.955745 49.2478
68 2.7 0.950985 51.3975
69 2.74 0.962854 53.6391
